scene,algorithm,iterations,cycles
cornell,sppm,2,9412923827
cornell,sppm,4,16946778326
cornell,sppm,8,30747413288
cornell,sppm,16,54292144952
cornell,sppm,32,97806138870
cornell,sppm,64,178816920531
cornell,sppm-simd,2,5804784855
cornell,sppm-simd,4,10052943933
cornell,sppm-simd,8,17182462226
cornell,sppm-simd,16,31389722732
cornell,sppm-simd,32,55033430535
cornell,sppm-simd,64,99605984442
large,sppm,2,4139906839
large,sppm,4,7362540294
large,sppm,8,13681776682
large,sppm,16,25810641069
large,sppm,32,49637868500
large,sppm,64,97156312748
large,sppm-simd,2,2318565204
large,sppm-simd,4,3826047873
large,sppm-simd,8,6711415406
large,sppm-simd,16,12165183659
large,sppm-simd,32,22714242052
large,sppm-simd,64,43006202526
mirror,sppm,2,15294699
mirror,sppm,4,13794316
mirror,sppm,8,13666510
mirror,sppm,16,13793093
mirror,sppm,32,14481427
mirror,sppm,64,13861595
mirror,sppm-simd,2,13632009
mirror,sppm-simd,4,13791590
mirror,sppm-simd,8,15777408
mirror,sppm-simd,16,13815187
mirror,sppm-simd,32,13734851
mirror,sppm-simd,64,15749201
random,sppm,2,15254085939
random,sppm,4,29615510100
random,sppm,8,57898896801
random,sppm,16,113259309483
random,sppm,32,224119703299
random,sppm,64,439701435678
random,sppm-simd,2,10914472456
random,sppm-simd,4,20858543148
random,sppm-simd,8,40718793527
random,sppm-simd,16,79286072752
random,sppm-simd,32,155845956560
random,sppm-simd,64,308379723541
surgery,sppm,2,6861598137
surgery,sppm,4,13114123655
surgery,sppm,8,25060604352
surgery,sppm,16,48717225266
surgery,sppm,32,94747766402
surgery,sppm,64,185343738826
surgery,sppm-simd,2,5057482064
surgery,sppm-simd,4,9497822172
surgery,sppm-simd,8,18108341024
surgery,sppm-simd,16,34869742679
surgery,sppm-simd,32,67812469174
surgery,sppm-simd,64,133014049977
