scene,algorithm,photons,cycles
cornell,sppm,12500,3821329189
cornell,sppm,25000,5244502312
cornell,sppm,50000,7845027024
cornell,sppm,100000,13438680564
cornell,sppm,200000,23944324574
cornell,sppm,400000,44762412858
cornell,sppm,800000,86347770267
cornell,sppm-simd,12500,2244809277
cornell,sppm-simd,25000,3025432862
cornell,sppm-simd,50000,4635735776
cornell,sppm-simd,100000,7863106398
cornell,sppm-simd,200000,13812258590
cornell,sppm-simd,400000,26257636721
cornell,sppm-simd,800000,50345829760
large,sppm,12500,3155730064
large,sppm,25000,3647276618
large,sppm,50000,4583650368
large,sppm,100000,6481009942
large,sppm,200000,10624994009
large,sppm,400000,18623231394
large,sppm,800000,34949367332
large,sppm-simd,12500,1805532665
large,sppm-simd,25000,2006198328
large,sppm-simd,50000,2456151331
large,sppm-simd,100000,3432297950
large,sppm-simd,200000,5318385925
large,sppm-simd,400000,9134802630
large,sppm-simd,800000,16886365959
mirror,sppm,12500,14437081
mirror,sppm,25000,14099906
mirror,sppm,50000,14873761
mirror,sppm,100000,15367326
mirror,sppm,200000,17249508
mirror,sppm,400000,13908554
mirror,sppm,800000,13736981
mirror,sppm-simd,12500,13738302
mirror,sppm-simd,25000,14689447
mirror,sppm-simd,50000,13552568
mirror,sppm-simd,100000,13754834
mirror,sppm-simd,200000,17747202
mirror,sppm-simd,400000,15288219
mirror,sppm-simd,800000,13850679
random,sppm,12500,14178787330
random,sppm,25000,16110082483
random,sppm,50000,20108434092
random,sppm,100000,28073090745
random,sppm,200000,43685063133
random,sppm,400000,75092108646
random,sppm,800000,138629039871
random,sppm-simd,12500,9335223237
random,sppm-simd,25000,10806341270
random,sppm-simd,50000,13574808537
random,sppm-simd,100000,19311780536
random,sppm-simd,200000,30629814761
random,sppm-simd,400000,53801192606
random,sppm-simd,800000,99442591213
surgery,sppm,12500,6686338843
surgery,sppm,25000,7537743333
surgery,sppm,50000,9137540426
surgery,sppm,100000,12370514865
surgery,sppm,200000,18978616633
surgery,sppm,400000,32233125619
surgery,sppm,800000,58501157505
surgery,sppm-simd,12500,4861291319
surgery,sppm-simd,25000,5382402259
surgery,sppm-simd,50000,6537166306
surgery,sppm-simd,100000,8878346915
surgery,sppm-simd,200000,13895836622
surgery,sppm-simd,400000,23359445864
surgery,sppm-simd,800000,42768890776
