scene,algorithm,image_size,cycles
cornell,sppm,3072,5648645939
cornell,sppm,12288,6325080551
cornell,sppm,49152,9052007448
cornell,sppm,196608,24437200068
cornell,sppm,786432,98151553483
cornell,sppm,3145728,5951896628
cornell,sppm-simd,3072,2228227218
cornell,sppm-simd,12288,2873215864
cornell,sppm-simd,49152,4876387068
cornell,sppm-simd,196608,13858508056
cornell,sppm-simd,786432,62448561264
cornell,sppm-simd,3145728,3610872723
large,sppm,3072,5134046899
large,sppm,12288,5240113382
large,sppm,49152,6042026324
large,sppm,196608,10620088926
large,sppm,786432,28565326597
large,sppm,3145728,6209099345
large,sppm-simd,3072,1946283776
large,sppm-simd,12288,2007711472
large,sppm-simd,49152,2588226934
large,sppm-simd,196608,5336446383
large,sppm-simd,786432,16577463283
large,sppm-simd,3145728,3646510931
mirror,sppm,3072,14056882
mirror,sppm,12288,14299880
mirror,sppm,49152,13834172
mirror,sppm,196608,13711458
mirror,sppm,786432,17391392
mirror,sppm,3145728,14041715
mirror,sppm-simd,3072,15415071
mirror,sppm-simd,12288,14488592
mirror,sppm-simd,49152,15324683
mirror,sppm-simd,196608,15307408
mirror,sppm-simd,786432,14707627
mirror,sppm-simd,3145728,13792322
random,sppm,3072,25963642880
random,sppm,12288,26556041457
random,sppm,49152,29919032425
random,sppm,196608,43866014354
random,sppm,786432,104337097513
random,sppm,3145728,31479207593
random,sppm-simd,3072,19207477255
random,sppm-simd,12288,19695743036
random,sppm-simd,49152,21792529938
random,sppm-simd,196608,30828886138
random,sppm-simd,786432,70349126407
random,sppm-simd,3145728,20131250540
surgery,sppm,3072,10348937561
surgery,sppm,12288,10895546191
surgery,sppm,49152,12150807985
surgery,sppm,196608,19215369604
surgery,sppm,786432,48965118780
surgery,sppm,3145728,14790409457
surgery,sppm-simd,3072,7744969952
surgery,sppm-simd,12288,8095265132
surgery,sppm-simd,49152,9085603578
surgery,sppm-simd,196608,13819270273
surgery,sppm-simd,786432,34214949019
surgery,sppm-simd,3145728,10465860942
