stage,scene,dp_utilisations,sp_utilisations,dp_gflops,sp_gflops
1,random,1.11,0.553,31.986,67.5
1,cornell,0.47,0.22,31.3,66.1
1,surgery,0.49,0.23,35,73.9
1,large,0.16,0.08,34.9,66.6
1,mirror,0.15,0.08,38,70.5
2,random,2.68,1.4,36.6,69.9
2,cornell,0.74,0.47,38,60
2,surgery,1.22,0.54,27.9,62.6
2,large,0.33,0.14,35.6,77.4
2,mirror,0.31,0.19,35.6,58.9
3,random,7.07,1.2,39.9,81.6
3,cornell,1.67,0.7,34.3,69.2
3,surgery,2.55,1.26,36.1,74.6
3,large,5.05,0.79,38.8,81.8
3,mirror,1.41,0.58,37.4,76.7
4,random,17.92,8.71,35.9,70.7
4,cornell,4.02,1.82,34.3,64.9
4,surgery,9.62,4.8,37.9,77.1
4,large,2.66,1.34,36.8,73.3
4,mirror,5.72,3.58,35.9,72.4
5,random,8.41,4.41,33.5,68.5
5,cornell,6.47,1.48,38.9,74.9
5,surgery,2.59,1.28,37.7,76.7
5,large,2.69,1.26,36.4,77.9
5,mirror,2.52,1.25,38.8,78.6
6,random,10.9,5.23,36.4,75.5
6,cornell,3.53,1.75,38,77.8
6,surgery,6.7,3.46,29.5,69.2
6,large,2.61,1.47,37.5,66.5
6,mirror,2.67,1.34,36.7,72.9
