scene,algorithm,iterations,cycles
cornell,sppm,2,35160833314
cornell,sppm,4,62932172613
cornell,sppm,8,112959189022
cornell,sppm,16,196946886215
cornell,sppm,32,338676523483
cornell,sppm,64,589762244551
large,sppm,2,11301458346
large,sppm,4,20367469111
large,sppm,8,37651514459
large,sppm,16,70271370768
large,sppm,32,133646578567
large,sppm,64,256090601695
mirror,sppm,2,11815953192
mirror,sppm,4,22154834150
mirror,sppm,8,41959443673
mirror,sppm,16,78097537234
mirror,sppm,32,148325166024
mirror,sppm,64,283165757980
random,sppm,2,56207626818
random,sppm,4,109962836891
random,sppm,8,213940982592
random,sppm,16,419628096138
random,sppm,32,825689182758
random,sppm,64,1630644068555
surgery,sppm,2,22851313864
surgery,sppm,4,44141745901
surgery,sppm,8,84469771030
surgery,sppm,16,164084733870
surgery,sppm,32,320631934961
surgery,sppm,64,627312776818
