scene,algorithm,photons,cycles
cornell,sppm,12500,11243388052
cornell,sppm,25000,16371367318
cornell,sppm,50000,26652148218
cornell,sppm,100000,47087366685
cornell,sppm,200000,88694591949
cornell,sppm,400000,168516669545
cornell,sppm,800000,325696578527
large,sppm,12500,7974851423
large,sppm,25000,9192961947
large,sppm,50000,11923176369
large,sppm,100000,17601885316
large,sppm,200000,29481881476
large,sppm,400000,52491624960
large,sppm,800000,98549067938
mirror,sppm,12500,11151987433
mirror,sppm,25000,12309708167
mirror,sppm,50000,15070247495
mirror,sppm,100000,20552845825
mirror,sppm,200000,31887844092
mirror,sppm,400000,55005774623
mirror,sppm,800000,99157453017
random,sppm,12500,51328538269
random,sppm,25000,58586926881
random,sppm,50000,73182232939
random,sppm,100000,102608446221
random,sppm,200000,161958621345
random,sppm,400000,280414821199
random,sppm,800000,517997846039
surgery,sppm,12500,21674238890
surgery,sppm,25000,24273014026
surgery,sppm,50000,29954701959
surgery,sppm,100000,41247254822
surgery,sppm,200000,64482804028
surgery,sppm,400000,109497767390
surgery,sppm,800000,200695047875
