scene,algorithm,image_size,cycles
cornell,sppm-simd,768,1525996541
cornell,sppm-simd,3072,1871145346
cornell,sppm-simd,12288,2500539414
cornell,sppm-simd,49152,4461488555
cornell,sppm-simd,196608,12987158184
cornell,sppm-simd,786432,59976914351
large,sppm-simd,768,1330468921
large,sppm-simd,3072,1469078787
large,sppm-simd,12288,1557622066
large,sppm-simd,49152,2043272122
large,sppm-simd,196608,4669992003
large,sppm-simd,786432,15613530178
mirror,sppm-simd,768,1344295122
mirror,sppm-simd,3072,1543934797
mirror,sppm-simd,12288,1867275099
mirror,sppm-simd,49152,2574880092
mirror,sppm-simd,196608,5622363226
mirror,sppm-simd,786432,14189708327
random,sppm-simd,768,3050388135
random,sppm-simd,3072,3276313776
random,sppm-simd,12288,3542836024
random,sppm-simd,49152,4493380693
random,sppm-simd,196608,9088169498
random,sppm-simd,786432,29797751456
surgery,sppm-simd,768,2146514957
surgery,sppm-simd,3072,2315022742
surgery,sppm-simd,12288,2566722889
surgery,sppm-simd,49152,3156056229
surgery,sppm-simd,196608,6142073319
surgery,sppm-simd,786432,19537237416
cornell,sppm,768,5126984239
cornell,sppm,3072,5635903953
cornell,sppm,12288,6353347470
cornell,sppm,49152,9226097816
cornell,sppm,196608,24245142356
cornell,sppm,786432,100276959894
large,sppm,768,4831189410
large,sppm,3072,5060026580
large,sppm,12288,5543593426
large,sppm,49152,6037891432
large,sppm,196608,10681430040
large,sppm,786432,28795334151
mirror,sppm,768,4890187744
mirror,sppm,3072,5162696535
mirror,sppm,12288,5603715509
mirror,sppm,49152,6601942413
mirror,sppm,196608,11359311815
mirror,sppm,786432,27304299860
random,sppm,768,25331446711
random,sppm,3072,25985343950
random,sppm,12288,26676518473
random,sppm,49152,29708602214
random,sppm,196608,43796496707
random,sppm,786432,104037754148
surgery,sppm,768,9963896506
surgery,sppm,3072,10314372695
surgery,sppm,12288,10702451164
surgery,sppm,49152,12071522441
surgery,sppm,196608,19079932178
surgery,sppm,786432,48907155054
