d, camera pass, build lookup, photon pass, consolidate
1, 0.10584070000000001, 0.1409155, 0.10770690000000001, 0.0006519000000000001
2, 0.11312410000000002, 0.10784869999999999, 0.9971848999999999, 0.0015056999999999998
3, 0.1173604, 0.12568419999999997, 1.8808669999999998, 0.0014892
4, 0.12349049999999999, 0.1143894, 3.2310723999999995, 0.0020645999999999998
5, 0.12315559999999999, 0.1085985, 3.8875158, 0.0018821999999999999
6, 0.1219792, 0.12315469999999999, 5.192113300000001, 0.0028656000000000003
7, 0.12168039999999998, 0.0858711, 5.6646357, 0.0020652
8, 0.12085000000000001, 0.12273460000000003, 6.0137466, 0.0016713999999999995

default params, p, l, |S|, initial radius
value, 512 x 384, 200000, 9, 2.0
