l, camera pass, build lookup, photon pass, consolidate
8192, 0.1195664, 0.1248135, 0.15204349999999997, 0.0015301
16384, 0.11826500000000002, 0.1259363, 0.2880155999999999, 0.001452
32768, 0.12276400000000001, 0.1313716, 0.6386772, 0.0022571
65536, 0.11793660000000002, 0.10225200000000001, 1.0797531999999999, 0.0015484
131072, 0.1185357, 0.1299232, 2.1567475000000003, 0.0015398
262144, 0.1197233, 0.14984799999999998, 4.396158, 0.0016473999999999998
524288, 0.11975500000000001, 0.09650560000000001, 9.186593699999998, 0.0018221000000000001
1048576, 0.12073339999999999, 0.1143718, 17.5516127, 0.0018102

default params, p, d, |S|, initial radius
value, 512 x 384, 5, 9, 2.0
